code;protein
TEF;Thyrotroph embryonic factor
TEK;Angiopoietin-1 receptor
TERF1;Telomeric repeat-binding factor 1
TET2;Methylcytosine dioxygenase TET2
TEX101;Testis-expressed protein 101
TEX33;Testis-expressed protein 33
TF;Serotransferrin
TFAP2A;Transcription factor AP-2-alpha
TFF1;Trefoil factor 1
TFF2;Trefoil factor 2
TFF3;Trefoil factor 3
TFPI;Tissue factor pathway inhibitor
TFPI2;Tissue factor pathway inhibitor 2
TFRC;Transferrin receptor protein 1
TG;Thyroglobulin
TGFA;Protransforming growth factor alpha
TGFB1;Transforming growth factor beta-1 proprotein
TGFB2;Transforming growth factor beta-2 proprotein
TGFBI;Transforming growth factor-beta-induced protein ig-h3
TGFBR1;TGF-beta receptor type-1
TGFBR2;TGF-beta receptor type-2
TGFBR3;Transforming growth factor beta receptor type 3
TGM2;Protein-glutamine gamma-glutamyltransferase 2
TGOLN2;Trans-Golgi network integral membrane protein 2
THAP12;52 kDa repressor of the inhibitor of the protein kinase
THBD;Thrombomodulin
THBS2;Thrombospondin-2
THBS4;Thrombospondin-4
THOP1;Thimet oligopeptidase
THPO;Thrombopoietin
THRAP3;Thyroid hormone receptor-associated protein 3
THSD1;Thrombospondin type-1 domain-containing protein 1
THTPA;Thiamine-triphosphatase
THY1;Thy-1 membrane glycoprotein
TIA1;Nucleolysin TIA-1 isoform p40
TIE1;Tyrosine-protein kinase receptor Tie-1
"TIGAR;Fructose-2,6-bisphosphatase TIGAR"
TIGIT;T-cell immunoreceptor with Ig and ITIM domains
TIMD4;T-cell immunoglobulin and mucin domain-containing protein 4
TIMM10;Mitochondrial import inner membrane translocase subunit Tim10
TIMM8A;Mitochondrial import inner membrane translocase subunit Tim8 A
TIMP1;Metalloproteinase inhibitor 1
TIMP2;Metalloproteinase inhibitor 2
TIMP3;Metalloproteinase inhibitor 3
TIMP4;Metalloproteinase inhibitor 4
TINAGL1;Tubulointerstitial nephritis antigen-like
TJAP1;Tight junction-associated protein 1
TJP3;Tight junction protein ZO-3
"TK1;Thymidine kinase, cytosolic"
TLR1;Toll-like receptor 1
TLR2;Toll-like receptor 2
TLR3;Toll-like receptor 3
TLR4;Toll-like receptor 4
TMCO5A;Transmembrane and coiled-coil domain-containing protein 5A
TMED1;Transmembrane emp24 domain-containing protein 1
TMED10;Transmembrane emp24 domain-containing protein 10
TMED4;Transmembrane emp24 domain-containing protein 4
TMED8;Protein TMED8
TMEM106A;Transmembrane protein 106A
TMEM132A;Transmembrane protein 132A
TMEM25;Transmembrane protein 25
TMOD4;Tropomodulin-4
TMPRSS11B;Transmembrane protease serine 11B
TMPRSS11D;Transmembrane protease serine 11D
TMPRSS15;Enteropeptidase
TMPRSS5;Transmembrane protease serine 5
TMSB10;Thymosin beta-10
TNC;Tenascin
TNF;Tumor necrosis factor
TNFAIP2;Tumor necrosis factor alpha-induced protein 2
TNFAIP8;Tumor necrosis factor alpha-induced protein 8
TNFAIP8L2;Tumor necrosis factor alpha-induced protein 8-like protein 2
TNFRSF10A;Tumor necrosis factor receptor superfamily member 10A
TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B
TNFRSF10C;Tumor necrosis factor receptor superfamily member 10C
TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A
TNFRSF11B;Tumor necrosis factor receptor superfamily member 11B
TNFRSF12A;Tumor necrosis factor receptor superfamily member 12A
TNFRSF13B;Tumor necrosis factor receptor superfamily member 13B
TNFRSF13C;Tumor necrosis factor receptor superfamily member 13C
TNFRSF14;Tumor necrosis factor receptor superfamily member 14
TNFRSF17;Tumor necrosis factor receptor superfamily member 17
TNFRSF19;Tumor necrosis factor receptor superfamily member 19
TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A
TNFRSF1B;Tumor necrosis factor receptor superfamily member 1B
TNFRSF21;Tumor necrosis factor receptor superfamily member 21
TNFRSF4;Tumor necrosis factor receptor superfamily member 4
TNFRSF6B;Tumor necrosis factor receptor superfamily member 6B
TNFRSF8;Tumor necrosis factor receptor superfamily member 8
TNFRSF9;Tumor necrosis factor receptor superfamily member 9
TNFSF10;Tumor necrosis factor ligand superfamily member 10
TNFSF11;Tumor necrosis factor ligand superfamily member 11
TNFSF12;Tumor necrosis factor ligand superfamily member 12
TNFSF13;Tumor necrosis factor ligand superfamily member 13
TNFSF13B;Tumor necrosis factor ligand superfamily member 13B
TNFSF14;Tumor necrosis factor ligand superfamily member 14
TNFSF8;Tumor necrosis factor ligand superfamily member 8
TNIP1;TNFAIP3-interacting protein 1
TNN;Tenascin-N
"TNNI3;Troponin I, cardiac muscle"
TNPO1;Transportin-1
TNR;Tenascin-R
TNXB;Tenascin-X
TOMM20;Mitochondrial import receptor subunit TOM20 homolog
TOP1;DNA topoisomerase 1
"TOP1MT;DNA topoisomerase I, mitochondrial"
TOP2B;DNA topoisomerase 2-beta
TOR1AIP1;Torsin-1A-interacting protein 1
TP53;Cellular tumor antigen p53
TP53BP1;TP53-binding protein 1
TP53I3;Quinone oxidoreductase PIG3
TP53INP1;Tumor protein p53-inducible nuclear protein 1
TP73;Tumor protein p73
TPBGL;Trophoblast glycoprotein-like
TPD52L2;Tumor protein D54
TPK1;Thiamin pyrophosphokinase 1
TPM3;Tropomyosin alpha-3 chain
TPMT;Thiopurine S-methyltransferase
TPP1;Tripeptidyl-peptidase 1
TPPP2;Tubulin polymerization-promoting protein family member 2
TPPP3;Tubulin polymerization-promoting protein family member 3
TPR;Nucleoprotein TPR
TPRKB;EKC/KEOPS complex subunit TPRKB
TPSAB1;Tryptase alpha/beta-1
TPSD1;Tryptase delta
TPSG1;Tryptase gamma
TPT1;Translationally-controlled tumor protein
TRAF2;TNF receptor-associated factor 2
"TRAF3;TNF receptor-associated factor 3, Isoform 2"
TRAF3IP2;E3 ubiquitin ligase TRAF3IP2
TRDMT1;tRNA (cytosine(38)-C(5))-methyltransferase
TREH;Trehalase
TREM2;Triggering receptor expressed on myeloid cells 2
TREML1;Trem-like transcript 1 protein
TREML2;Trem-like transcript 2 protein
TRIAP1;TP53-regulated inhibitor of apoptosis 1
TRIM21;E3 ubiquitin-protein ligase TRIM21
TRIM24;Transcription intermediary factor 1-alpha
TRIM25;E3 ubiquitin/ISG15 ligase TRIM25
TRIM26;Tripartite motif-containing protein 26
TRIM40;E3 ubiquitin ligase TRIM40
TRIM5;Tripartite motif-containing protein 5
TRIM58;E3 ubiquitin-protein ligase TRIM58
TRPV3;Transient receptor potential cation channel subfamily V member 3
TSC1;Hamartin
TSC22D1;TSC22 domain family protein 1
TSHB;Thyrotropin subunit beta
TSLP;Thymic stromal lymphopoietin
TSNAX;Translin-associated protein X
TSPAN1;Tetraspanin-1
TSPAN15;Tetraspanin-15
TSPAN7;Tetraspanin-7
TSPAN8;Tetraspanin-8
TSPYL1;Testis-specific Y-encoded-like protein 1
TST;Thiosulfate sulfurtransferase
TTF2;Transcription termination factor 2
TTN;Titin
TTR;Transthyretin
TUBB3;Tubulin beta-3 chain
TWF2;Twinfilin-2
TXK;Tyrosine-protein kinase TXK
TXLNA;Alpha-taxilin
TXN;Thioredoxin
TXNDC15;Thioredoxin domain-containing protein 15
TXNDC5;Thioredoxin domain-containing protein 5
TXNDC9;Thioredoxin domain-containing protein 9
TXNL1;Thioredoxin-like protein 1
"TXNRD1;Thioredoxin reductase 1, cytoplasmic"
TYMP;Thymidine phosphorylase
TYRO3;Tyrosine-protein kinase receptor TYRO3
"TYRP1;5,6-dihydroxyindole-2-carboxylic acid oxidase"
UBAC1;Ubiquitin-associated domain-containing protein 1
UBE2B;Ubiquitin-conjugating enzyme E2 B
UBE2L6;Ubiquitin/ISG15-conjugating enzyme E2 L6
UBE2Z;Ubiquitin-conjugating enzyme E2 Z
UBQLN3;Ubiquilin-3
UBXN1;UBX domain-containing protein 1
UFD1;Ubiquitin recognition factor in ER-associated degradation protein 1
UGDH;UDP-glucose 6-dehydrogenase
UHRF2;E3 ubiquitin-protein ligase UHRF2
ULBP2;UL16-binding protein 2
UMOD;Uromodulin
UNC5D;Netrin receptor UNC5D
UNC79;Protein unc-79 homolog
UNG;Uracil-DNA glycosylase
UPB1;Beta-ureidopropionase
UPK3A;Uroplakin-3a
UPK3BL1;Uroplakin-3b-like protein 1
UROD;Uroporphyrinogen decarboxylase
UROS;Uroporphyrinogen-III synthase
USO1;General vesicular transport factor p115
USP25;Ubiquitin carboxyl-terminal hydrolase 25
USP28;Ubiquitin carboxyl-terminal hydrolase 28
USP47;Ubiquitin carboxyl-terminal hydrolase 47
USP8;Ubiquitin carboxyl-terminal hydrolase 8
UXS1;UDP-glucuronic acid decarboxylase 1
VAMP5;Vesicle-associated membrane protein 5
VAMP8;Vesicle-associated membrane protein 8
VASH1;Tubulinyl-Tyr carboxypeptidase 1
VASN;Vasorin
VASP;Vasodilator-stimulated phosphoprotein
VAT1;Synaptic vesicle membrane protein VAT-1 homolog
VAV3;Guanine nucleotide exchange factor VAV3
VCAM1;Vascular cell adhesion protein 1
VCAN;Versican core protein
VCPKMT;Protein-lysine methyltransferase METTL21D
VEGFA;Vascular endothelial growth factor A
VEGFB;Vascular endothelial growth factor B
VEGFC;Vascular endothelial growth factor C
VEGFD;Vascular endothelial growth factor D
VGF;Neurosecretory protein VGF
VIM;Vimentin
VIPR1;Vasoactive intestinal polypeptide receptor 1
VIT;Vitrin
VMO1;Vitelline membrane outer layer protein 1 homolog
VNN1;Pantetheinase
VNN2;Vascular non-inflammatory molecule 2
VPS28;Vacuolar protein sorting-associated protein 28 homolog
VPS37A;Vacuolar protein sorting-associated protein 37A
VPS4B;Vacuolar protein sorting-associated protein 4B
VPS53;Vacuolar protein sorting-associated protein 53 homolog
VSIG10;V-set and immunoglobulin domain-containing protein 10
VSIG10L;V-set and immunoglobulin domain-containing protein 10-like
VSIG2;V-set and immunoglobulin domain-containing protein 2
VSIG4;V-set and immunoglobulin domain-containing protein 4
VSIR;V-type immunoglobulin domain-containing suppressor of T-cell activation
VSNL1;Visinin-like protein 1
VSTM1;V-set and transmembrane domain-containing protein 1
VSTM2B;V-set and transmembrane domain-containing protein 2B
VSTM2L;V-set and transmembrane domain-containing protein 2-like protein
VTA1;Vacuolar protein sorting-associated protein VTA1 homolog
VTCN1;V-set domain-containing T-cell activation inhibitor 1
VTI1A;Vesicle transport through interaction with t-SNAREs homolog 1A
VWA1;von Willebrand factor A domain-containing protein 1
VWA5A;von Willebrand factor A domain-containing protein 5A
VWC2;Brorin
VWC2L;von Willebrand factor C domain-containing protein 2-like
VWF;von Willebrand factor
"WARS;Tryptophan--tRNA ligase, cytoplasmic"
WAS;Wiskott-Aldrich syndrome protein
WASF1;Wiskott-Aldrich syndrome protein family member 1
WASF3;Wiskott-Aldrich syndrome protein family member 3
WASHC3;WASH complex subunit 3
WASL;Neural Wiskott-Aldrich syndrome protein
WDR46;WD repeat-containing protein 46
WFDC1;WAP four-disulfide core domain protein 1
WFDC12;WAP four-disulfide core domain protein 12
WFDC2;WAP four-disulfide core domain protein 2
"WFIKKN1;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1"
"WFIKKN2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"
WIF1;Wnt inhibitory factor 1
WNT9A;Protein Wnt-9a
WWP2;NEDD4-like E3 ubiquitin-protein ligase WWP2
XCL1;Lymphotactin
XG;Glycoprotein Xg
XIAP;E3 ubiquitin-protein ligase XIAP
XPNPEP2;Xaa-Pro aminopeptidase 2
XRCC4;DNA repair protein XRCC4
YAP1;Transcriptional coactivator YAP1
"YARS1;Tyrosine--tRNA ligase, cytoplasmic"
YES1;Tyrosine-protein kinase Yes
YJU2;Splicing factor YJU2
YOD1;Ubiquitin thioesterase OTU1
YTHDF3;YTH domain-containing family protein 3
YWHAQ;14-3-3 protein theta
YY1;Transcriptional repressor protein YY1
ZBP1;Z-DNA-binding protein 1
ZBTB16;Zinc finger and BTB domain-containing protein 16
ZBTB17;Zinc finger and BTB domain-containing protein 17
ZCCHC8;Zinc finger CCHC domain-containing protein 8
ZFYVE19;Abscission/NoCut checkpoint regulator
ZHX2;Zinc fingers and homeoboxes protein 2
ZNF174;Zinc finger protein 174
ZNF75D;Zinc finger protein 75D
ZNF830;Zinc finger protein 830
ZNRD2;Protein ZNRD2
ZNRF4;E3 ubiquitin-protein ligase ZNRF4
ZP3;Zona pellucida sperm-binding protein 3
ZP4;Zona pellucida sperm-binding protein 4
ZPR1;Zinc finger protein ZPR1
